,0,1,2
0,1,Verschillende,3481
1,3,Various,3481
2,2,"Various, Various",3478
3,125,Anonyme,740
4,127,Anonymous,740
5,126,"Anonymous, Anonymous",737
6,1042,"Bulwer-Lytton, Edward George Earle Lytton, 1st Baron",219
7,1043,"Bulwer, Edward Lytton",219
8,1045,"Lytton, Edward Bulwer Lytton, Baron",219
9,1044,"Lytton, Edward Bulwer",218
10,85,"Clemens, Samuel Langhorne",213
11,86,"Twain, Mark (Samuel Clemens)",213
12,87,"Twain, Mark",213
13,1076,"Shakspeare, William",196
14,1077,"Shakspere, William",196
15,1078,"Shakespeare, William",196
16,3895,"Ebers, Georg Moritz",164
17,3896,"Ebers, George Moritz",164
18,3897,"Ebers, Georg",164
19,400,"Dickens, Charles John Huffam",153
20,401,Boz,153
21,402,"Dickens, Charles",153
22,385,"Wilson, Margaret",135
23,803,"Parker, Horatio Gilbert",134
24,804,"Parker, Gilbert, Sir, bart.",134
25,805,"Parker, Gilbert",134
26,379,"Oliphant, Margaret Oliphant Wilson",133
27,380,Mrs. (Margaret) Oliphant,133
28,381,"Olyphant, Mrs.",133
29,382,"Oliphant, M. O. W. (Margaret Oliphant Wilson)",133
30,383,"Oliphant, Mrs. Margaret",133
31,384,"Oliphant, Mrs.",133
32,386,"Oliphant, Mrs. (Margaret)",133
33,2165,"Kingston, W. H. G.",133
34,2166,"Kingston, W.H.G.",133
35,2167,"Kingston, William Henry Giles",133
36,13,"Fenn, G. M. (George Manville)",128
37,14,"Fenn, G. Manville (George Manville)",128
38,15,"Fenn, George Manville",128
39,1565,Unknown,128
40,583,"Balzac, Honore de",126
41,584,"Saint-Aubin, Horace de",126
42,585,"De Balzac, Honoré",126
43,586,"Balzac, H. de (Honoré de)",126
44,587,"Balzac, Honoré de",126
45,492,"Conan Doyle, Arthur, Sir",121
46,493,"Doyle, Sir Arthur Conan",121
47,494,"Doyle, A. Conan",121
48,495,"Doyle, Arthur Conan",121
49,26,"Putnam, Arthur Lee",112
50,27,"Starr, Julian",112
51,28,"Preston, Charles F.",112
52,29,"Alger, Horatio",112
