,0,1,2
0,1,Verschillende,3477
1,2,"Various, Various",3477
2,3,Various,3477
3,125,Anonyme,734
4,126,"Anonymous, Anonymous",734
5,127,Anonymous,734
6,1042,"Bulwer-Lytton, Edward George Earle Lytton, 1st Baron",218
7,1043,"Bulwer, Edward Lytton",218
8,1044,"Lytton, Edward Bulwer",218
9,1045,"Lytton, Edward Bulwer Lytton, Baron",218
10,1076,"Shakspeare, William",183
11,1077,"Shakspere, William",183
12,1078,"Shakespeare, William",183
13,3895,"Ebers, Georg Moritz",164
14,3896,"Ebers, George Moritz",164
15,3897,"Ebers, Georg",164
16,85,"Clemens, Samuel Langhorne",158
17,86,"Twain, Mark (Samuel Clemens)",158
18,87,"Twain, Mark",158
19,385,"Wilson, Margaret",135
20,803,"Parker, Horatio Gilbert",134
21,804,"Parker, Gilbert, Sir, bart.",134
22,805,"Parker, Gilbert",134
23,379,"Oliphant, Margaret Oliphant Wilson",133
24,380,Mrs. (Margaret) Oliphant,133
25,381,"Olyphant, Mrs.",133
26,382,"Oliphant, M. O. W. (Margaret Oliphant Wilson)",133
27,383,"Oliphant, Mrs. Margaret",133
28,384,"Oliphant, Mrs.",133
29,386,"Oliphant, Mrs. (Margaret)",133
30,2165,"Kingston, W. H. G.",133
31,2166,"Kingston, W.H.G.",133
32,2167,"Kingston, William Henry Giles",133
33,13,"Fenn, G. M. (George Manville)",128
34,14,"Fenn, G. Manville (George Manville)",128
35,15,"Fenn, George Manville",128
36,583,"Balzac, Honore de",123
37,584,"Saint-Aubin, Horace de",123
38,585,"De Balzac, Honoré",123
39,586,"Balzac, H. de (Honoré de)",123
40,587,"Balzac, Honoré de",123
41,1565,Unknown,119
42,5529,"Meredith, George",112
43,26,"Putnam, Arthur Lee",111
44,27,"Starr, Julian",111
45,28,"Preston, Charles F.",111
46,29,"Alger, Horatio",111
47,30,"Alger, Horatio, Jr.",111
48,189,"Jacobs, William Wymark",111
49,190,"Jacobs, W. W. (William Wymark)",111
50,556,"Howells, W. D. (William Dean)",109
51,557,"Howells, William D. (William Dean)",109
52,558,"Howells, William Dean",109
53,3056,"Henty, George Alfred",108
54,3057,"Henty, G.A.",108
55,3058,"Henty, G. A. (George Alfred)",108
56,11498,"Motley, J. L. (John Lothrop)",103
57,11499,"Motley, J. Lothrop (John Lothrop)",103
58,11500,"Motley, John Lothrop",103
59,40,"Hawthorne, Nathaniel",99
60,2220,"Ballantyne, Robert Michael",98
61,2221,"Ballantyne, R. M. (Robert Michael)",98
62,400,"Dickens, Charles John Huffam",94
63,401,Boz,94
64,402,"Dickens, Charles",94
65,1119,"James, Henry",94
66,321,"Van Dyne, Edith",90
67,710,"Stevenson, R. L. (Robert Louis)",90
68,711,"Stevenson, Robert Louis",90
69,2194,"Winfield, Arthur M.",89
70,2195,"Steward, Ray M.",89
71,2196,"Bonehill, Ralph",89
72,2197,"Bonehill, Captain Ralph",89
73,2198,"Stratemeyer, Edward",89
74,634,"Pepys, Samuel",87
75,2873,"Trollope, Anthony",85
76,20,"Lang, Walter Andrew",83
77,21,"Lang, Andrew",83
78,322,"Bancroft, Laura",83
79,323,"Baum, Lyman Frank",83
80,324,"Metcalf, Suzanne",83
81,325,"Akers, Floyd",83
82,326,"Cooke, John Estes",83
83,327,"Fitzgerald, Capt. Hugh",83
84,328,"Fitzgerald, Hugh",83
85,329,"Staunton, Schuyler",83
86,330,"Baum, L. Frank (Lyman Frank)",83
87,492,"Conan Doyle, Arthur, Sir",83
88,493,"Doyle, Sir Arthur Conan",83
89,494,"Doyle, A. Conan",83
90,495,"Doyle, Arthur Conan",83
91,4309,United States. Copyright Office,79
92,4310,Library of Congress. Register of Copyrights,79
93,4311,"Office, U.S. Copyright",79
94,4312,"Congress, U. S. Copyright Office Library of",79
95,4313,"Congress, Copyright Office Library of",79
96,4314,Library of Congress. Copyright Office,79
97,625,"Queux, William Le",78
98,626,"Queux, William Tufnell Le",78
99,627,"Le Queux, William",78
100,1410,"Emerson, Edwin",76
101,188,"Churchill, Winston",75
102,730,"Wells, Herbert George",74
103,731,"Wells, H. G. (Herbert George)",74
104,1394,"Jayne, R. H.",74
105,1395,"Ellis, E. S. (Edward Sylvester)",74
106,1396,"Ellis, Edward S. (Edward Sylvester)",74
107,1397,"Randolph, Geoffrey",74
108,1398,"Hawthorne, R. M.",74
109,1399,"LaSalle, Charles E.",74
110,1400,"Adams, J. F. C. (James Fenimore Cooper)",74
111,1401,"Adams, James Fenimore Cooper",74
112,1402,"Adams, Capt. 'Bruin'",74
113,1403,"Muller, Billex",74
114,1404,"Robins, Seelin",74
115,1405,"Belknap, Boynton H.",74
116,1406,"Belknap, B. H. (Boynton H.)",74
117,1407,"Rodman, Emerson",74
118,1408,"Hunter, Ned",74
119,1409,"Lasalle, Chas. E.",74
120,1411,"Ellis, Edward Sylvester",74
121,84,"Hope, Laura Lee",68
122,942,"MacDonald, George",68
123,1244,"Kipling, R. (Rudyard)",67
124,1245,"Kipling, Joseph Rudyard",67
125,1246,"Kipling, Rudyard",67
126,406,"Hume, Ferguson Wright",66
127,407,"Hume, Fergus W. (Ferguson Wright)",66
128,408,"Hume, Fergus",66
