,0,1,2
0,1,Verschillende,3818
1,3,Various,3818
2,2,"Various, Various",3813
3,125,Anonyme,892
4,127,Anonymous,892
5,126,"Anonymous, Anonymous",887
6,1076,"Shakspeare, William",332
7,1077,"Shakspere, William",332
8,1078,"Shakespeare, William",332
9,85,"Clemens, Samuel Langhorne",245
10,86,"Twain, Mark (Samuel Clemens)",245
11,87,"Twain, Mark",245
12,1042,"Bulwer-Lytton, Edward George Earle Lytton, 1st Baron",226
13,1043,"Bulwer, Edward Lytton",226
14,1045,"Lytton, Edward Bulwer Lytton, Baron",226
15,1044,"Lytton, Edward Bulwer",225
16,400,"Dickens, Charles John Huffam",189
17,401,Boz,189
18,402,"Dickens, Charles",189
19,2199,"Verne, Júlio",175
20,2200,"Verne, Jules Gabriël",175
21,2201,"Verne, Jules Gabriel",175
22,2203,"Verne, Jules",175
23,3895,"Ebers, Georg Moritz",175
24,3896,"Ebers, George Moritz",175
25,3897,"Ebers, Georg",175
26,2202,"Verne, Gyula",157
27,583,"Balzac, Honore de",153
28,584,"Saint-Aubin, Horace de",153
29,585,"De Balzac, Honoré",153
30,586,"Balzac, H. de (Honoré de)",153
31,587,"Balzac, Honoré de",153
32,5088,"Dumas, Alexandre",152
33,1565,Unknown,150
34,492,"Conan Doyle, Arthur, Sir",147
35,493,"Doyle, Sir Arthur Conan",147
36,494,"Doyle, A. Conan",147
37,495,"Doyle, Arthur Conan",147
38,5085,"Dumas, Alexander",145
39,5086,"Dumas, Alexandre, pere",145
40,5087,"père, Alexandre Dumas",145
41,715,"Jokai, Maurus",143
42,716,"Jokai, Mor",143
43,717,"Jókai, Mór",143
44,385,"Wilson, Margaret",135
45,803,"Parker, Horatio Gilbert",134
46,804,"Parker, Gilbert, Sir, bart.",134
47,805,"Parker, Gilbert",134
48,379,"Oliphant, Margaret Oliphant Wilson",133
49,380,Mrs. (Margaret) Oliphant,133
50,381,"Olyphant, Mrs.",133
51,382,"Oliphant, M. O. W. (Margaret Oliphant Wilson)",133
52,383,"Oliphant, Mrs. Margaret",133
53,384,"Oliphant, Mrs.",133
54,386,"Oliphant, Mrs. (Margaret)",133
55,2165,"Kingston, W. H. G.",133
56,2166,"Kingston, W.H.G.",133
57,2167,"Kingston, William Henry Giles",133
58,13,"Fenn, G. M. (George Manville)",128
59,14,"Fenn, G. Manville (George Manville)",128
60,15,"Fenn, George Manville",128
61,730,"Wells, Herbert George",117
62,731,"Wells, H. G. (Herbert George)",117
63,26,"Putnam, Arthur Lee",112
64,27,"Starr, Julian",112
