author_name,book_id
"Chambers, R. (Robert)",16582
"Chambers, R. (Robert)",32306
"Chambers, Robert",15557
"Sterling, Brett",55485
"Sterling, Brett",58634
"Sterling, Brett",66207
"Elliott, William",47816
"Elliott, William",63243
"Bradbury, Raymond Douglas",66607
"Bradbury, Ray",55746
"Bradbury, Ray",69117
"Bradbury, Ray",53851
"Sheldon, Lurana W.",45213
"Sheldon, Lurana W.",60931
Chautauqua Sunday School Teachers' Assembly,62304
"Chautauqua Institution, Chautauqua, N.Y.",2383
Chautauqua Institution,55697
Chautauqua Literary and Scientific Circle,64150
"Lang, Andrew",1508
"Lang, Andrew",59201
"Clemens, Samuel Langhorne",48558
"Twain, Mark (Samuel Clemens)",39099
"Twain, Mark (Samuel Clemens)",63074
"Twain, Mark",33981
"Twain, Mark",40374
"Belloc, Joseph Hilaire Pierre",1210
"Belloc, Joseph Hilaire Pierre",65710
"Belloc, H.",57694
"Belloc, Hilaire",2150
"Belloc, Hilaire",37617
"Miltoun, Francis",55735
"Miltoun, Francis",55927
"Mansfield, Milburg Francisco",61853
"Mansfield, Milburg Francisco",58937
"Mansfield, M.F",149
"Mansfield, M. F. (Milburg Francisco)",54683
"Warner, Charles Dudley",41066
"Warner, Charles Dudley",7220
"Murray, Lieutenant",43392
"Murray, Lieutenant",54440
"Murray, Lieutenant",59740
"Forester, Frank",67817
"Ballou, M. M. (Maturin Murray)",9453
"Ballou, M. M. (Maturin Murray)",52835
"Ballou, Maturin M. (Maturin Murray)",53521
"Ballou, Maturin M. (Maturin Murray)",68083
"Newman, John Henry, Cardinal",48859
"Newman, J. H. (John Henry)",62045
"Newman, John Henry",55664
"Stowe, Harriet Elizabeth Beecher",43312
"Crowfield, Christopher",25160
"Stowe, H. B. (Harriet Beecher)",33768
"Stowe, H. B. (Harriet Beecher)",50327
"Stowe, Harriet Beecher",63403
"James, George Payne Rainsford",59067
"James, George Payne Rainsford",9235
"James, G. P. R. (George Payne Rainsford)",16490
"Brinton, D. G. (Daniel Garrison)",61668
"Brinton, D. G. (Daniel Garrison)",69537
"Brinton, Daniel Garrison",60967
"Wells, Herbert George",54475
"Wells, Herbert George",69283
"Wells, H. G. (Herbert George)",2440
"Wells, H. G. (Herbert George)",65015
"Marx, Heinrich Karl",63979
"Marx, Karl",11291
"Hichens, Robert S. (Robert Smythe)",6459
"Hichens, Robert",5305
"James, Henry",53293
"James, Henry",67972
"Griffiths, Arthur George Frederick",59615
"Griffiths, Arthur",56992
"Allen, Charles Grant Blairfindie",57175
"Allen, Charles Grant Blairfindie",69590
"Allen, Grant",42598
"Allen, Grant",47722
"Allen, Grant",42217
"Hallam, Henry",58321
"Hallam, Henry",21862
"Hallam, Henry",53284
"Emerson, Edwin",60094
"Emerson, Edwin",50601
Unknown,64132
Unknown,53403
Unknown,7312
"Davis, Richard Harding",52202
"Davis, Richard Harding",65571
"Davis, Richard Harding",54982
"Davis, Richard Harding",22824
"Davis, Richard Harding",14683
"Taylor, James Bayard",834
"Taylor, James Bayard",29836
"Taylor, Bayard",20158
"Taylor, J.B.",58118
"Taylor, J.B.",48195
"Cobb, Irvin Shrewsbury",61910
"Cobb, Irvin Shrewsbury",49060
"Cobb, Irvin Shrewsbury",22480
"Cobb, Irvin S. (Irvin Shrewsbury)",1688
"Cobb, Irvin S. (Irvin Shrewsbury)",2764
"Cobb, Irvin S. (Irvin Shrewsbury)",49308
"Cobb, Irvin S. (Irvin Shrewsbury)",22367
"Schiller, Johann Christoph Friedrich von",60977
"Schiller, Johann Christoph Friedrich von",57048
"Schiller, Friedrich von",19075
"Schiller, Friedrich von",60227
"Schiller, Friedrich",16701
"Schiller, Friedrich",50205
"Morris, Charles",55751
"Morris, Charles",58219
"Morris, Charles",48795
"Terhune, Mary Virginia Hawes",911
"Terhune, Mary Virginia Hawes",2413
"Terhune, Edward Payson, Mrs.",17580
"Terhune, Edward Payson, Mrs.",48964
"Terhune, Edward Payson, Mrs.",47452
"Baring-Gould, Sabine",56131
"Baring-Gould, Sabine",28707
"Baring-Gould, Sabine",64296
"Gould, Sabine Baring",49116
"Gould, Sabine Baring",26428
"Gould, Sabine Baring",963
"Fox, Frank, Sir",50137
"Fox, Frank, Sir",55039
"Fox, Frank, Sir",65136
"Renar, Frank",49206
"March, Anne",5132
"March, Anne",57016
"March, Anne",46218
"Woolson, Constance Fenimore",52905
"Woolson, Constance Fenimore",68439
"Shelley, P. B. (Percy Bysshe)",69073
"Shelley, P. B. (Percy Bysshe)",16198
"Shelley, P. B. (Percy Bysshe)",29925
"Shelley, Percy Bysshe",11497
